"id","region_id","name","latitude","longitude","order_num","show_at_zoom","show_on_main_map","show_on_voyage_map"
"60725","60700","Malembo","-5.3333329999999997","12.183332999999999","60725","0","t","t"
"60726","60700","Mayumba","-3.4166669999999999","10.65","60726","0","t","t"
"60730","60700","Nova Redonda","-11.199999999999999","13.833333","60730","0","t","t"
"60732","60700","Quicombo","-11.316667000000001","13.816667000000001","60732","0","t","t"
"60733","60700","Salinas","-12.614444000000001","13.350277999999999","60733","0","t","t"
"60735","60700","Rio Dande (N of Luanda)","-8.4666700000000006","13.35","60735","0","f","t"
"60799","60700","West Central Africa and St. Helena, port unspecified","-8.8383330000000004","13.234444","60799","0","f","t"
"60803","60800","Cape of Good Hope","-34.100000000000001","18.383333","60803","0","t","t"
"60806","60800","Ibo","-12.333333","40.583333000000003","60806","0","t","t"
"60807","60800","Inhambane","-23.864999999999998","35.383333","60807","0","t","t"
"60808","60800","Quirimba","-12.430277999999999","40.613056","60808","0","t","t"
"60809","60800","Kilwa","-8.75","39.399999999999999","60809","0","t","t"
"60810","60800","Lourenço Marques","-25.965278000000001","32.589167000000003","60810","0","t","t"
"60811","60800","Madagascar","-19.191103999999999","46.698771999999998","60811","0","t","t"
"60820","60800","Mozambique","-15.038455000000001","40.735759999999999","60820","0","t","t"
"60822","60800","Quilimane","-17.878610999999999","36.888333000000003","60822","0","t","t"
"60823","60800","Sofala","-20.155000000000001","34.731667000000002","60823","0","t","t"
"60826","60800","Zanzibar","-6.1666670000000003","39.183332999999998","60826","0","t","t"
"60831","60800","Mascarene Islands","-20.77758","56.642209999999999","60831","0","t","t"
"60833","60800","Ile de France","-20.328641600000001","57.560252140000003","60833","0","t","t"
"60836","60800","Johanna Island","-12.220000000000001","44.420000000000002","60836","0","f","t"
"60915","60900","Bights","4.2656530000000004","5.9900000000000002","60915","0","f","t"
"60734","60700","Luanda","-8.8383330000000004","13.234444","60734","0","t","t"
"80199","80100","East Indies, port unspecified","0","0","80199","0","f","f"
"80501","80500","Kingston, Savannah, Maryland","0","0","80501","0","f","f"
"80601","80600","Bengal","18.449999999999999","-77.450000000000003","80601","0","f","t"
"80604","80600","Basse Indres","47.200000000000003","-1.6699999999999999","80604","0","f","t"
"80703","80700","British plantations","0","0","80703","0","f","f"
"80704","80700","Non-British","0","0","80704","0","f","f"
"80705","80700","Captured by WIC","0","0","80705","0","f","f"
"80706","80700","Captured interloper","0","0","80706","0","f","f"
"80707","80700","Prize (unknown place)","0","0","80707","0","f","f"
"80708","80700","Prize (taken from Dutch)","0","0","80708","0","f","f"
"80709","80700","Prize (taken from French)","0","0","80709","0","f","f"
"80710","80700","Prize (taken from Spanish)","0","0","80710","0","f","f"
"80711","80700","Sold at sea to another vessel","0","0","80711","0","f","f"
"80712","80700","wreck","0","0","80712","0","f","f"
"32250","32200","Berbice","6.6712980000000002","-57.93","35303","0","t","t"
"10827","10800","Zaandam","0","0","10827","0","f","f"
