voyageid,adpsale1,adpsale2,adult1,adult2,adult3,adult4,adult5,adult6,arrport,arrport2,boy1,boy2,boy3,boy4,boy5,boy6,captaina,captainb,captainc,child1,child2,child3,child4,child5,child6,constreg,crew,crew1,crew2,crew3,crew4,crew5,crewdied,datedepa,datedepb,datedepc,d1slatra,d1slatrb,d1slatrc,dlslatra,dlslatrb,dlslatrc,ddepam,ddepamb,ddepamc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,datarr43,datarr44,datarr45,embport,embport2,embreg,embreg2,fate,female1,female2,female3,female4,female5,female6,girl1,girl2,girl3,girl4,girl5,girl6,guns,infant1,infant3,infant4,jamcaspr,majbuypt,majselpt,male1,male2,male3,male4,male5,male6,men1,men2,men3,men4,men5,men6,national,ncar13,ncar15,ncar17,ndesert,npafttra,nppretra,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,owneri,ownerj,ownerk,ownerl,ownerm,ownern,ownero,ownerp,plac1tra,plac2tra,plac3tra,placcons,placreg,portdep,portret,regarr,regarr2,regdis1,regdis2,regdis3,regem1,regem2,regem3,regisreg,resistance,retrnreg,retrnreg1,rig,saild1,saild2,saild3,saild4,saild5,shipname,sla1port,slaarriv,sladafri,sladamer,sladvoy,slas32,slas36,slas39,slavema1,slavema3,slavemx1,slavemx3,slavmax1,slavmax3,slavmax7,slinten2,slintend,sourcea,sourceb,sourcec,sourced,sourcee,sourcef,sourceg,sourceh,sourcei,sourcej,sourcek,sourcel,sourcem,sourcen,sourceo,sourcep,sourceq,sourcer,tonnage,tontype,tslavesd,tslavesp,voyage,women1,women2,women3,women4,women5,women6,xmimpflag,yearaf,yearam,yeardep,yrcons,yrreg,natinimp,year5,year10,year25,year100,tonmod,fate2,fate3,fate4,ncartot,pctemb,mjbyptimp,slastot,pctdis,mjslptimp,ptdepimp,deptregimp,majbyimp,mjselimp,deptregimp1,majbyimp1,mjselimp1,slaximp,slamimp,vymrtimp,tslmtimp,vymrtrat,adlt1imp,chil1imp,male1imp,feml1imp,chilrat1,malrat1,menrat1,womrat1,boyrat1,girlrat1,adlt3imp,chil3imp,male3imp,feml3imp,chilrat3,malrat3,menrat3,womrat3,boyrat3,girlrat3,slavema7,slavemx7,men7,women7,boy7,girl7,adult7,child7,male7,female7,menrat7,womrat7,boyrat7,girlrat7,malrat7,chilrat7,adlt2imp,chil2imp,male2imp,feml2imp
372, , , , , , , , , , , , , , , , ,"Ferreira, José dos Santos", , , , , , , , , , , , , , , , ,16,11,1822, , , , , , , , , ,2,4,1823, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,60725,50299, , , , , , , , , , , , ,4, , , , , , , ,"Silva, Vicente de Paula", , , , , , , , , , , , , , , ,60725, , , , ,50299, , , ,50200, , ,60700, , , , , , ,1, , , , , ,Vencedor,50299,264, , ,1, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","Verger,422","AHMS, 56,2, p. 13", , , , , , , , , , , , , , , , , ,265, ,23, , , , , , ,19,1822,1823,1822, , ,6,65,33,13,1800, ,1,14,1, , ,60725, , ,50299,50299,50200,60700,50200,50000,60000,50000,265,264,1,265,.00377358490566038, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
393, , , , , , , , ,50422, , , , , , , ,"Matos, João Vieira Barão de", , , , , , , , , , ,25, , , , , ,31,7,1823, , , , ,12,1823, , , ,27,2,1824, , , , , , , , , ,60822, ,60800, ,1, , , , , , , , , , , , , , , , , ,60822,50422, , , , , , , , , , , , , , , , , , , , ,"Porto, Antônio Alves da Silva","Matos, João Vieira Barão de", , , , , , , , , , , , , , ,60822, , , , ,50422, ,50400, ,50400, , ,60800, , , , , , ,40, , , , , ,Conde dos Arcos,50422,338, , ,108, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,10/B/72","FO84/42,ff.21-5",Florentino,"Dgov,02/08/1823",CapelaNotes,"AHU,Moçambique, Cx 189 No 32", , , , , , , , , , , , , ,446, ,56, , , , , , ,81,1823,1824,1823, , , ,65,33,13,1800, ,1,14,1, , ,60822, , ,50422,50422,50400,60800,50400,50000,60000,50000,446,338,108,446,.242152466367713, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
433, , , , , , , , , , , , , , , , ,"Oliveira, Sérgio Ferreira de", , , , , , , , , , ,24, , , , , ,10,5,1824, , , , , , , , , ,30,11,1824, , , , , , , , , ,60711, ,60700, ,1, , , , , , , , , , , , , , , , , ,60711,50422, , , , , , , , , , , , , , , , , , , , ,"Guimarães, José Joaquim", , , , , , , , , , , , , , , ,60711, , , , ,50422, , , ,50400, , ,60700, , , , , , ,40, , , , , ,Grão Penedo,50422,456, , ,24, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,10/B/72","FO84/42,ff.21-5",Florentino,"Dgov,12/05/1824", , , , , , , , , , , , , , , ,480, ,44, , , , , , ,81,1824,1824,1824, , , ,65,33,13,1800, ,1,14,1, , ,60711, , ,50422,50422,50400,60700,50400,50000,60000,50000,480,456,24,480,.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
472, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,1825, , , , , , , , , , ,12,1825, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , , ,31308, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31312, , , ,31300, , , , , , , , , ,51, , , , , ,Annibal,31308,243, , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8015, 45", , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,1825,1825,1825, , ,3,65,33,13,1800, ,1,14,1, , , , , ,31308,31312,31300, ,31300,30000, ,30000,250,243, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
501, , , , , , , , ,50422, , , , , , , ,"Santos, Antônio Teodoro dos", , , , , , , , , , , , , , , , , , , , , , , , ,1825, , , ,10,2,1825, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,60820,50422, , , , , , , , , , , , ,4, , , , , , , ,"Rocha, Joaquim José da", , , , , , , , , , , , , , , ,60820, , , , , , ,50400, ,50400, , ,60800, , , , , , ,40, , , , , ,Adamastor,50422,487, , ,5, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,10/B/81","FO84/55,ff.12-18",Florentino,"IHGB,DL82.1:18", , , , , , , , , , , , , , ,492, ,39, , , , , , ,81,1825,1825,1825, , ,6,65,33,13,1800, ,1,14,1, , ,60820, , ,50422,50422,50400,60800,50400,50000,60000,50000,492,487,5,492,.0101626016260163, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
604, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,3,1827, , , , , , , , , , ,7,1827, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,60208,31302, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,60208, , , , ,31312, , , ,31300, , ,60200, , , , , , ,2, , , , , ,Tres Manuelas,31302,180, , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633","FO84/52,Kilbee,27.08.13","Murray,94", , , , , , , , , , , , , , , , , , , , , , , , , , ,25,1827,1827,1827, , ,3,66,33,14,1800, ,1,14,1, , ,60208, , ,31302,31312,31300,60200,31300,30000,60000,30000,200,180, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661, , , , , , , , , , , , , , , , ,"Hernandez, M", , , , , , , , , , , , , , , , ,3,1,1828, , , , , , , , , , ,6,1828, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,31399, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31312, , , ,31300, , , , , , , , , ,2, , , , , ,Indagadora,31399, , , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,12/A/86", , , , , , , , , , , , , , , , , , , , , , , , , , , ,25,1828,1828,1828, , ,3,66,33,14,1800, ,1,14,1, , , , , ,31399,31312,31300, ,31300,30000, ,30000,311,279, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
675, , , , , , , , , , , , , , , , ,"Silva, Antônio Lopes da", , , , , , , , , , , , , , , , ,22,9,1826, , , , , , , , , ,13,7,1827, , , , , , , , , ,60703, ,60700, ,1, , , , , , , , , , , , , , , , , ,60711,50422, , , , , , , , , , , , , , , , , , , , ,"Pinto, Manoel Guedes", , , , , , , , , , , , , , , ,60711, , , , ,50422, , , ,50400, , ,60700, , , , , , ,40, , , , , ,Flor do Rio,50422,500, , ,10, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,23/09/1826", , , , , , , , , , , , , , , ,510, ,35, , , , , , ,82,1826,1827,1826, , , ,66,33,14,1800, ,1,14,1, , ,60711, , ,50422,50422,50400,60700,50400,50000,60000,50000,510,500,10,510,.0196078431372549, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
882, , , , , , , , , , , , , , , , ,"Moura, Félix José de", , , , , , , , , , , , ,23, , , , , , , , , , , , , , , ,8,5,1829, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , ,60799,50399, , , , , , , , , , , , ,5, , , , , , , ,"Silva, Antônio da *", , , , , , , , , , , , , , , ,60799, , , , , , , , ,50300, , ,60700, , , , , , ,5, , , , , ,Quatro de Agosto,50399,295, , ,9, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","DPE, 9-5-1829","APEJE, 04.06.18,v.1,p. 191", , , , , , , , , , , , , , , ,107,2,304, ,22, , , , , , ,38,1829,1829,1829, , ,6,66,33,14,1800,107,1,14,1, , ,60799, , ,50399,50399,50300,60700,50300,50000,60000,50000,304,295,9,304,.0296052631578947, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
899, , , , , , , , , , , , , , , , ,"Noqra, J A", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,6,1829, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,60711,50299, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , ,60711, , , , , , , , ,50200, , ,60700, , , , , , , , , , , , ,Nova Resolucão,50299,127, , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,1829,1829,1829, , ,6,66,33,14,1800, ,1,14,1, , ,60711, , ,50299,50299,50200,60700,50200,50000,60000,50000,136,127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1064, , , , , , , , , , , , , , , , ,"Santos, José Vitorino dos", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,3,1830, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,60711,50422, , , , , , , , , , , , , , , , , , , , ,"Gonçalves, Manoel Jose", , , , , , , , , , , , , , , ,60711, , , , , , , , ,50400, , ,60700, , , , , , , , , , , , ,Estrela do Cabo,50422,288, , ,16, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/78","FO84/112,ff.45-50",Florentino, , , , , , , , , , , , , , , ,304, ,40, , , , , , ,118,1830,1830,1830, , , ,66,33,14,1800, ,1,14,1, , ,60711, , ,50422,50422,50400,60700,50400,50000,60000,50000,304,288,16,304,.0526315789473684, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1094, , , , , , , , , , , , , , , , ,"Barros, João Correa de", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,4,1830, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , ,60799,50422, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60734, , , , , , , , ,50400, , ,60700, , , , , , ,2, , , , , ,Nova Carolina,50422,272, , ,33, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/79","FO84/112,ff.45-50",Florentino, , , , , , , , , , , , , , , ,305, ,31, , , , , , ,25,1830,1830,1830, , , ,66,33,14,1800, ,1,14,1, , ,60734, , ,50422,50422,50400,60700,50400,50000,60000,50000,305,272,33,305,.108196721311475, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1178,50299, , , , , , , ,50399, , , , , , , ,"Ribeiro, Joaquim Inácio", , , , , , , , , , ,28, ,28, , , ,14,2,1829, , , , , , , , , ,24,10,1829, , , , , , , , , ,60707,60799,60700,60700,49, , , , , , , , , , , , , , , , , ,60799,50299, , , , , , , , , , , , ,5, , , , , ,1, ,"Silva, Antônio da*","Oliveira, Joaquim José de", , , , , , , , , , , , , , ,60799, , , , ,50399, ,50300, ,50300,50200, ,60700, , , , , , ,25, , , , , ,Maria da Glória,50399,378, , ,15,60,318,0, , , , , , , , , ,"APEJE, R.P.2.2.7, p. 140","PP,1845,XLIX:593-633","IUP,ST,12/B/119","DPE, 1829-10-27","AHMOP,SGC4,Lv2", , , , , , , , , , , , , ,242,2, , , , , , , , , ,160,1829,1829,1829, , ,6,66,33,14,1800,242,1,14,1, , ,60799,378,1,50299,50399,50300,60700,50200,50000,60000,50000,393,378,15,393,.0381679389312977, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1222, , , , , , , , ,31312, , , , , , , ,"Pardo, José Benito", , , , , , , , , , , , , , , , ,16,2,1831, , , , , , , , , ,9,10,1831, , , , , , , , , ,60673, ,60600, ,1, , , , , , , , , , , , , , , , , , ,31312, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31312, ,31300, ,31300, , , , , , , , , ,51, , , , , ,Ligera (a) Intrepida,31312, , , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,13/A2/49,50","AHNM, Estado, leg. 8021, 8", , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1831,1831,1831, , ,3,67,34,14,1800, ,1,14,1, , ,60673, , ,31312,31312,31300,60600,31300,30000,60000,30000,282,268, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1318, , , , , , , , ,31312, , , , , , , ,"Blanco, Joaquin","Moreno, José Maria", , , , , , , , , , , , , , , ,25,9,1833, , , , , ,1834, , , ,7,7,1834, , , , , , , , , ,60208, ,60200, ,1, , , , , , , , , , , , , , , , , ,60208,31312, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,60208, , , , ,31312, ,31300, ,31300, , ,60200, , , , , , ,8, , , , , ,Temerário,31312, , , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,14/A/133,135","AHNM, Estado, leg. 8027, 11", , , , , , , , , , , , , , , , , , , , , , , , , , ,44,1834,1834,1833, , ,3,67,34,14,1800, ,1,14,1, , ,60208, , ,31312,31312,31300,60200,31300,30000,60000,30000,403,363, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1450, , , , , , , , , , , , , , , , ,"Rubeiro, F", , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1836, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,31399, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31312, , , ,31300, , , , , , , , , ,1, , , , , ,Jacinto,31399, , , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,1836,1836,1836, , ,3,68,34,14,1800, ,1,14,1, , , , , ,31399,31312,31300, ,31300,30000, ,30000,491,444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
